ReceiptID;DateTime;TotalPrice;MoneyInserted;Change;Item details
1;2022/05/04 12:37:41;9.99;10.00;0.01;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
2;2022/05/04 15:39:55;6.00;50.00;44.00;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
3;2022/05/04 15:40:05;12.00;15.00;3.00;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
4;2022/05/04 15:42:10;7.00;50.00;43.00;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
5;2022/05/04 21:15:21;17.30;20.00;2.70;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
6;2022/05/04 21:28:21;11.50;11.50;0.00;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
7;2022/05/05 00:14:57;9.00;10.00;1.00;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
8;2022/05/05 00:39:23;6.80;10.00;3.20;[[id:1 , Normal Bun, 2.0, 1], [id:2 , Butter waffles, 5.99, 1]]
9;2022/05/05 14:50:19;10.00;50.00;40.00 ;[[id:7 , Hundred plus, 3.0, 1], [id:2 , Butter waffles, 4.0, 1], [id:1 , Normal Bun, 2.0, 1], [id:9 , Super ring, 1.0, 1]]
10;2022/05/05 15:06:24;35.00;50.00;15.00 ;[[id:13 , Snicker, 3.0, 1], [id:12 , MAMEE monster, 0.5, 1], [id:7 , Hundred plus, 3.0, 1], [id:8 , Coca cola, 3.0, 1], [id:2 , Butter waffles, 4.0, 1], [id:6 , Pepsi, 3.0, 1], [id:9 , Super ring, 1.0, 1], [id:15 , Potato Bun, 3.3, 1], [id:14 , Pedas Hotcup, 5.0, 1], [id:16 , Fanta, 2.3, 1], [id:17 , Rice Ball, 6.9, 1]]
11;2022/05/05 15:08:00;16.00;50.00;34.00 ;[[id:8 , Coca cola, 3.0, 1], [id:13 , Snicker, 3.0, 1], [id:2 , Butter waffles, 4.0, 1], [id:6 , Pepsi, 3.0, 1], [id:11 , Potatochip, 3.0, 1]]
